a001,5101;5111;5121,,,,,
a002,4101;4111,,,,,
a003,5101;5111;5121,4101;4111,,,,
a004,5101;5111;5121,4101;4111,100,,,
a005,5101;5111;5121,4101;4111;41019901,,,,
a045,5101;5111;5121,4101;4111;41019901,100,,,
a046,5101;5111;5121,4101;4111;41019901,0.36,,,
a048,89990904,,,,,
a049,899990902;41019902;41019903;41019904;41019905,,,,,
a050,5101;5111;5121,4101;4111;41019901,0.36,89990904;89990903,,
a007,5102,4102;4112;4113,,,,
a008,5102,4102;4112;4113,100,,,
a009,5101;5111;5121,4101;4111;41019901,0.36,89990904;5102,4102;4112;4113,
a010,89990902;41019902;41019903;41019904;41019905,5601,,,,
a011,89990903,5701,,,,
a012,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905,4102;4112;4113;5501;5701;5801;5601,
a013,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905,4102;4112;4113;5501;5701;5801;5601,5101;5111;5121
a014,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201,
a015,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201,5101;5111;5121
a016,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201;8101,
a017,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201;8101,5101;5111;5121
a018,89990101,0.8,,,,
a019,45000102;45000202,,,,,
a020,45000102;45000202,0.8,,,,
a021,45000102;45000202,89990101,100,,,
a022,45010111;45010112;45010113;45010114;45010115;45010116;45010117,,,,,
a023,45010101;45010102;45010103;45010104;45010105;45010106,,,,,
a024,45000102;45000202,0.8,8999011101,450101,,
a025,45000102;45000202,0.8,45000301;450101,8999011101,,
a026,45000102;45000202,0.8,45010111;45010112;45010113;45010114;45010115;45010116;45010117,,,
a027,8999011101,45010101;45010102;45010103;45010104;45010105;45010106,,,,
a028,89990102,0.3,,,,
a029,89990102,0.7,,,,
a030,45000103;45000203,,,,,
a031,45000103;45000203,0.3,,,,
a032,45000103;45000203,0.7,,,,
a033,45000102;45000202,89990102,100,,,
a034,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188,,,,,
a035,45000103;45000203,0.3,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188,,,
a036,450102;450109;450115;450116;450130;450199,,,,,
a037,45000103;45000203,0.7,450102;450109;450115;450116;450130;450199,,,
a038,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,,
a039,45000103;45000203,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,
a040,45000302;450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,45000103;45000203,,,,
a041,45000105;45000205,,,,,
a042,45000304,45000105;45000205,,,,
a043,45000301;45000302;45000304,,,,,
a044,45000102;45000202;45000103;45000203;45000105;45000205;8999011101,450101;450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
