line_item,formula,值1,值2,值3,值4,值5,值6,值7
a001,值1,5101;5111;5121,,,,,,
a002,值1,4101;4111,,,,,,
a003,值1-值2,5101;5111;5121,4101;4111,,,,,
a004,(值1-值2)/值1*值3,5101;5111;5121,4101;4111,100,,,,
a005,值1-值2,5101;5111;5121,4101;4111;41019901,,,,,
a045,(值1-值2)/值1*值3,5101;5111;5121,4101;4111;41019901,100,,,,
a046,(值1-值2)*值3,5101;5111;5121,4101;4111;41019901,0.36,,,,
a048,值1,89990904,,,,,,
a049,值1,899990902;41019902;41019903;41019904;41019905,,,,,,
a050,(值1-值2)*值3+值4,5101;5111;5121,4101;4111;41019901,0.36,89990904;89990903,,,
a007,值1-值2,5102,4102;4112;4113,,,,,
a008,(值1-值2)/值1*值3,5102,4102;4112;4113,100,,,,
a009,(值1-值2)*值3+值4-值5,5101;5111;5121,4101;4111;41019901,0.36,89990904;5102,4102;4112;4113,,
a010,值1-值2,89990902;41019902;41019903;41019904;41019905,5601,,,,,
a011,值1-值2,89990903,5701,,,,,
a012,(值1-值2)*值3+值4-值5,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905,4102;4112;4113;5501;5701;5801;5601,,
a013,((值1-值2)*值3+值4-值5)/值6*值7,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905,4102;4112;4113;5501;5701;5801;5601,5101;5111;5121,100
a014,(值1-值2)*值3+值4-值5,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201,,
a015,((值1-值2)*值3+值4-值5)/值6*值7,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201,5101;5111;5121,100
a016,(值1-值2)*值3+值4-值5,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201;8101,,
a017,((值1-值2)*值3+值4-值5)/值6*值7,5101;5111;5121,4101;4111;41019901,0.36,5102;89990902;89990903;89990904;41019902;41019903;41019904;41019905;7101;7301;7901,4102;4112;4113;5501;5701;5801;5601;7201;8101,5101;5111;5121,100
a018,值1*值2,89990101,0.8,,,,,
a019,值1,45000102;45000202,,,,,,
a020,值1*值2,45000102;45000202,0.8,,,,,
a021,值1/值2*值3,45000102;45000202,89990101,100,,,,
a022,值1,45010111;45010112;45010113;45010114;45010115;45010116;45010117,,,,,,
a023,值1,45010101;45010102;45010103;45010104;45010105;45010106,,,,,,
a024,值1*值2+值3-值4,45000102;45000202,0.8,8999011101,450101,,,
a025,值1*值2+值3-值4,45000102;45000202,0.8,45000301;450101,8999011101,,,
a026,值1*值2-值3,45000102;45000202,0.8,45010111;45010112;45010113;45010114;45010115;45010116;45010117,,,,
a027,值1-值2,8999011101,45010101;45010102;45010103;45010104;45010105;45010106,,,,,
a028,值1*值2,89990102,0.3,,,,,
a029,值1*值2,89990102,0.7,,,,,
a030,值1,45000103;45000203,,,,,,
a031,值1*值2,45000103;45000203,0.3,,,,,
a032,值1*值2,45000103;45000203,0.7,,,,,
a033,值1/值2*值3,45000102;45000202,89990102,100,,,,
a034,值1,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188,,,,,,
a035,值1*值2-值3,45000103;45000203,0.3,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188,,,,
a036,值1,450102;450109;450115;450116;450130;450199,,,,,,
a037,值1*值2-值3,45000103;45000203,0.7,450102;450109;450115;450116;450130;450199,,,,
a038,值1,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,,,
a039,值1-值2,45000103;45000203,450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,,
a040,值1-值2,45000302;450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,45000103;45000203,,,,,
a041,值1,45000105;45000205,,,,,,
a042,值1-值2,45000304,45000105;45000205,,,,,
a043,值1,45000301;45000302;45000304,,,,,,
a044,值1-值2,45000102;45000202;45000103;45000203;45000105;45000205;8999011101,450101;450103;450104;450105;450106;450107;450108;450110;450111;450112;450113;450114;450117;450118;450119;450120;450121;450122;450123;450124;450125;450126;450127;450128;450131;450132;450133;450134;450188;450102;450109;450115;450116;450130;450199,,,,,
