line_item,account_num,ratio
a001,5101,1
a001,5111,1
a001,5121,1
a002,4101,1
a002,4111,1
a003,5101,1
a003,5111,1
a003,5121,1
a003,4101,-1
a003,4111,-1
a004,5101,1
a004,5111,1
a004,5121,1
a004,4101,-1
a004,4111,-1
a005,5101,-1
a005,5111,0.36
a005,5121,0.36
a005,4101,0.36
a005,4111,-0.36
a005,41019901,-0.36
a045,5101,-0.36
a045,5111,1
a045,5121,1
a045,4101,1
a045,4111,1
a045,41019901,1
a046,5101,1
a046,5111,0.36
a046,5121,0.36
a046,4101,0.36
a046,4111,-0.36
a046,41019901,-0.36
a048,89990904,-0.36
a049,899990902,1
a049,41019902,1
a049,41019903,1
a049,41019904,-1
a049,41019905,-1
a050,5101,-1
a050,5111,0.36
a050,5121,0.36
a050,4101,0.36
a050,4111,-0.36
a050,41019901,-0.36
a050,89990904,-0.36
a050,89990903,1
a007,5102,1
a007,4102,-1
a007,4112,-1
a007,4113,-1
a008,5102,
a008,4102,
a008,4112,
a008,4113,
a009,5101,0.36
a009,5111,0.36
a009,5121,0.36
a009,4101,-0.36
a009,4111,-0.36
a009,41019901,-0.36
a009,89990904,1
a009,5102,1
a009,4102,-1
a009,4112,-1
a009,4113,-1
a010,89990902,1
a010,41019902,1
a010,41019903,1
a010,41019904,1
a010,41019905,1
a010,5601,-1
a011,89990903,1
a011,5701,-1
a012,5101,0.36
a012,5111,0.36
a012,5121,0.36
a012,4101,-0.36
a012,4111,-0.36
a012,41019901,-0.36
a012,5102,1
a012,89990902,1
a012,89990903,1
a012,89990904,1
a012,41019902,1
a012,41019903,1
a012,41019904,1
a012,41019905,1
a012,4102,-1
a012,4112,-1
a012,4113,-1
a012,5501,-1
a012,5701,-1
a012,5801,-1
a012,5601,-1
a013,5101,
a013,5111,
a013,5121,
a013,4101,
a013,4111,
a013,41019901,
a013,5102,
a013,89990902,
a013,89990903,
a013,89990904,
a013,41019902,
a013,41019903,
a013,41019904,
a013,41019905,
a013,4102,
a013,4112,
a013,4113,
a013,5501,
a013,5701,
a013,5801,
a013,5601,
a014,5101,0.36
a014,5111,0.36
a014,5121,0.36
a014,4101,-0.36
a014,4111,-0.36
a014,41019901,-0.36
a014,5102,1
a014,89990902,1
a014,89990903,1
a014,89990904,1
a014,41019902,1
a014,41019903,1
a014,41019904,1
a014,41019905,1
a014,7101,1
a014,7301,1
a014,7901,1
a014,4102,-1
a014,4112,-1
a014,4113,-1
a014,5501,-1
a014,5701,-1
a014,5801,-1
a014,5601,-1
a014,7201,-1
a015,5101,
a015,5111,
a015,5121,
a015,4101,
a015,4111,
a015,41019901,
a015,5102,
a015,89990902,
a015,89990903,
a015,89990904,
a015,41019902,
a015,41019903,
a015,41019904,
a015,41019905,
a015,7101,
a015,7301,
a015,7901,
a015,4102,
a015,4112,
a015,4113,
a015,5501,
a015,5701,
a015,5801,
a015,5601,
a015,7201,
a016,5101,0.36
a016,5111,0.36
a016,5121,0.36
a016,4101,-0.36
a016,4111,-0.36
a016,41019901,-0.36
a016,5102,1
a016,89990902,1
a016,89990903,1
a016,89990904,1
a016,41019902,1
a016,41019903,1
a016,41019904,1
a016,41019905,1
a016,7101,1
a016,7301,1
a016,7901,1
a016,4102,-1
a016,4112,-1
a016,4113,-1
a016,5501,-1
a016,5701,-1
a016,5801,-1
a016,5601,-1
a016,7201,-1
a016,8101,-1
a017,5101,
a017,5111,
a017,5121,
a017,4101,
a017,4111,
a017,41019901,
a017,5102,
a017,89990902,
a017,89990903,
a017,89990904,
a017,41019902,
a017,41019903,
a017,41019904,
a017,41019905,
a017,7101,
a017,7301,
a017,7901,
a017,4102,
a017,4112,
a017,4113,
a017,5501,
a017,5701,
a017,5801,
a017,5601,
a017,7201,
a017,8101,
a018,89990101,0.8
a019,45000102,1
a019,45000202,1
a020,45000102,0.8
a020,45000202,0.8
a021,45000102,
a021,45000202,
a021,89990101,
a022,45010111,1
a022,45010112,1
a022,45010113,1
a022,45010114,1
a022,45010115,1
a022,45010116,1
a022,45010117,1
a023,45010101,1
a023,45010102,1
a023,45010103,1
a023,45010104,1
a023,45010105,1
a023,45010106,1
a024,45000102,0.8
a024,45000202,0.8
a024,8999011101,1
a024,450101,-1
a025,45000102,0.8
a025,45000202,0.8
a025,45000301,1
a025,450101,1
a025,8999011101,-1
a026,45000102,0.8
a026,45000202,0.8
a026,45010111,-1
a026,45010112,-1
a026,45010113,-1
a026,45010114,-1
a026,45010115,-1
a026,45010116,-1
a026,45010117,-1
a027,8999011101,1
a027,45010101,-1
a027,45010102,-1
a027,45010103,-1
a027,45010104,-1
a027,45010105,-1
a027,45010106,-1
a028,89990102,0.3
a029,89990102,0.7
a030,45000103,1
a030,45000203,1
a031,45000103,0.3
a031,45000203,0.3
a032,45000103,0.7
a032,45000203,0.7
a033,45000102,
a033,45000202,
a033,89990102,
a034,450103,1
a034,450104,1
a034,450105,1
a034,450106,1
a034,450107,1
a034,450108,1
a034,450110,1
a034,450111,1
a034,450112,1
a034,450113,1
a034,450114,1
a034,450117,1
a034,450118,1
a034,450119,1
a034,450120,1
a034,450121,1
a034,450122,1
a034,450123,1
a034,450124,1
a034,450125,1
a034,450126,1
a034,450127,1
a034,450128,1
a034,450131,1
a034,450132,1
a034,450133,1
a034,450134,1
a034,450188,1
a035,45000103,0.3
a035,45000203,0.3
a035,450103,1
a035,450104,1
a035,450105,1
a035,450106,1
a035,450107,1
a035,450108,1
a035,450110,1
a035,450111,1
a035,450112,1
a035,450113,1
a035,450114,1
a035,450117,1
a035,450118,1
a035,450119,1
a035,450120,1
a035,450121,1
a035,450122,1
a035,450123,1
a035,450124,1
a035,450125,1
a035,450126,1
a035,450127,1
a035,450128,1
a035,450131,1
a035,450132,1
a035,450133,1
a035,450134,1
a035,450188,1
a036,450102,1
a036,450109,1
a036,450115,1
a036,450116,1
a036,450130,1
a036,450199,1
a037,45000103,0.7
a037,45000203,0.3
a037,450102,-1
a037,450109,-1
a037,450115,-1
a037,450116,-1
a037,450130,-1
a037,450199,-1
a038,450103,1
a038,450104,1
a038,450105,1
a038,450106,1
a038,450107,1
a038,450108,1
a038,450110,1
a038,450111,1
a038,450112,1
a038,450113,1
a038,450114,1
a038,450117,1
a038,450118,1
a038,450119,1
a038,450120,1
a038,450121,1
a038,450122,1
a038,450123,1
a038,450124,1
a038,450125,1
a038,450126,1
a038,450127,1
a038,450128,1
a038,450131,1
a038,450132,1
a038,450133,1
a038,450134,1
a038,450188,1
a038,450102,1
a038,450109,1
a038,450115,1
a038,450116,1
a038,450130,1
a038,450199,1
a039,45000103,1
a039,45000203,1
a039,450103,-1
a039,450104,-1
a039,450105,-1
a039,450106,-1
a039,450107,-1
a039,450108,-1
a039,450110,-1
a039,450111,-1
a039,450112,-1
a039,450113,-1
a039,450114,-1
a039,450117,-1
a039,450118,-1
a039,450119,-1
a039,450120,-1
a039,450121,-1
a039,450122,-1
a039,450123,-1
a039,450124,-1
a039,450125,-1
a039,450126,-1
a039,450127,-1
a039,450128,-1
a039,450131,-1
a039,450132,-1
a039,450133,-1
a039,450134,-1
a039,450188,-1
a039,450102,-1
a039,450109,-1
a039,450115,-1
a039,450116,-1
a039,450130,-1
a039,450199,-1
a040,45000302,1
a040,450103,1
a040,450104,1
a040,450105,1
a040,450106,1
a040,450107,1
a040,450108,1
a040,450110,1
a040,450111,1
a040,450112,1
a040,450113,1
a040,450114,1
a040,450117,1
a040,450118,1
a040,450119,1
a040,450120,1
a040,450121,1
a040,450122,1
a040,450123,1
a040,450124,1
a040,450125,1
a040,450126,1
a040,450127,1
a040,450128,1
a040,450131,1
a040,450132,1
a040,450133,1
a040,450134,1
a040,450188,1
a040,450102,1
a040,450109,1
a040,450115,1
a040,450116,1
a040,450130,1
a040,450199,1
a040,45000103,-1
a040,45000203,-1
a041,45000105,1
a041,45000205,1
a042,45000304,1
a042,45000105,-1
a042,45000205,-1
a043,45000301,1
a043,45000302,1
a043,45000304,1
a044,45000102,1
a044,45000202,1
a044,45000103,1
a044,45000203,1
a044,45000105,1
a044,45000205,1
a044,8999011101,1
a044,450101,-1
a044,450103,-1
a044,450104,-1
a044,450105,-1
a044,450106,-1
a044,450107,-1
a044,450108,-1
a044,450110,-1
a044,450111,-1
a044,450112,-1
a044,450113,-1
a044,450114,-1
a044,450117,-1
a044,450118,-1
a044,450119,-1
a044,450120,-1
a044,450121,-1
a044,450122,-1
a044,450123,-1
a044,450124,-1
a044,450125,-1
a044,450126,-1
a044,450127,-1
a044,450128,-1
a044,450131,-1
a044,450132,-1
a044,450133,-1
a044,450134,-1
a044,450188,-1
a044,450102,-1
a044,450109,-1
a044,450115,-1
a044,450116,-1
a044,450130,-1
a044,450199,-1
