会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
销货收入净额,a001,销货收入,5101,1,,,,a001,销货收入净额
销货收入净额,a001,销货退回,5111,1,,,,5101,销货收入
销货收入净额,a001,销货折让,5121,1,,,,510101,销货收入-外销
销货成本净额,a002,销货成本,4101,1,,,,510102,销货收入-内销
销货成本净额,a002,销货成本退回,4111,1,,,,510103,销货收入-其它
销货毛利,a003,销货收入,5101,1,,,,51010301,销货收入-力投
销货毛利,a003,销货退回,5111,1,,,,51010302,销货收入-Hofax
销货毛利,a003,销货折让,5121,1,,,,51010303,销货收入-力顿
销货毛利,a003,销货成本,4101,-1,,,,51010304,销货收入-国联
销货毛利,a003,销货成本退回,4111,-1,,,,51010305,销货收入-越南
销货毛利率(%),a004_fenzi,销货收入,5101,1,,,,510109,销货收入-调整
销货毛利率(%),a004_fenzi,销货退回,5111,1,,,,5111,销货退回
销货毛利率(%),a004_fenzi,销货折让,5121,1,,,,511102,销货退回-内销
销货毛利率(%),a004_fenzi,销货成本,4101,-1,,,,511103,销货退回-其它
销货毛利率(%),a004_fenzi,销货成本退回,4111,-1,,,,511101,销货退回-外销
销货毛利率(%),a004_fenmu,销货收入,5101,1,,,,51110301,销货退回-力投
销货毛利率(%),a004_fenmu,销货退回,5111,1,,,,51110302,销货退回-Hofax
销货毛利率(%),a004_fenmu,销货折让,5121,1,,,,51110303,销货退回-力顿
业务毛利,a005,销货收入,5101,1,,,,51110304,销货退回-国联
业务毛利,a005,销货退回,5111,1,,,,51110305,销货退回-越南
业务毛利,a005,销货折让,5121,1,,,,5121,销货折让
业务毛利,a005,销货成本,4101,1,,,,512101,销货折让-订单固定折让
业务毛利,a005,销货成本退回,4111,-1,,,,512102,销货折让-单价尾数差额
业务毛利,a005,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-1,,,,512103,销货折让-销售异状折让
业务毛利率(%),a045_fenzi,销货收入,5101,1,,,,a002,销货成本净额
业务毛利率(%),a045_fenzi,销货退回,5111,1,,,,4101,销货成本
业务毛利率(%),a045_fenzi,销货折让,5121,1,,,,410101,销货成本-外销
业务毛利率(%),a045_fenzi,销货成本,4101,-1,,,,410102,销货成本-内销
业务毛利率(%),a045_fenzi,销货成本退回,4111,-1,,,,410103,销货成本-其它
业务毛利率(%),a045_fenzi,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,1,,,,41010301,销货成本-力投
业务毛利率(%),a045_fenmu,销货收入,5101,1,,,,41010302,销货成本-Hofax
业务毛利率(%),a045_fenmu,销货退回,5111,1,,,,41010303,销货成本-力顿
业务毛利率(%),a045_fenmu,销货折让,5121,1,,,,41010304,销货成本-国联
业务组毛利(45%*80%),a046,销货收入,5101,0.36,,,,41010305,销货成本-越南
业务组毛利(45%*80%),a046,销货退回,5111,0.36,,,,410109,销货成本-调整
业务组毛利(45%*80%),a046,销货折让,5121,0.36,,,,4111,销货成本退回
业务组毛利(45%*80%),a046,销货成本,4101,-0.36,,,,411101,销货成本退回-外销
业务组毛利(45%*80%),a046,销货成本退回,4111,-0.36,,,,411102,销货成本退回-内销
业务组毛利(45%*80%),a046,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,411103,销货成本退回-其它
行政组毛利(45%*20%),a048,业务行政组毛利分配(YZ01),89990904,1,,,,41110301,销货成本退回-力顿
管理费收入分配,a049,#N/A,899990902,1,,,,41110302,销货成本退回-Hofax
管理费收入分配,a049,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,41110303,销货成本退回-力顿
管理费收入分配,a049,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,41110304,销货成本退回-国联
